channel,mean,rms,meanerr,rmserr,tv
1766,499.309,18.4126,0.176386,0.387857,10389
1659,402.435,9.32082,0.14849,0.194064,10389
1765,378.828,14.2999,0.198615,0.382981,10389
1660,333.715,7.34403,0.155721,0.207097,10389
1764,303.902,13.1863,0.146197,0.362905,10389
1661,369.547,8.48822,0.156072,0.231187,10389
1763,282.928,13.0514,0.153296,0.21828,10389
1662,353.595,8.41719,0.131418,0.207979,10389
1762,259.713,14.1665,0.145661,0.294741,10389
1663,299.565,8.76714,0.142709,0.241658,10389
1761,295.423,14.1763,0.207808,0.461899,10389
1664,356.011,8.97953,0.143751,0.215827,10389
1760,366.634,12.8418,0.181026,0.358741,10389
1665,441.417,10.3835,0.157844,0.287248,10389
1759,383.242,12.8011,0.151513,0.266069,10389
1758,551.753,12.6977,0.157863,0.282942,10389
1757,653.377,15.2294,0.193944,0.443928,10389
1756,552.491,21.582,0.548449,0.505664,10389
1668,570.855,11.2663,0.22454,0.484177,10389
1755,517.309,12.4426,0.174712,0.401626,10389
1669,423.321,10.9414,0.284136,0.696513,10389
1754,461.728,8.56259,0.111746,0.226297,10389
1670,527.208,7.90423,0.138553,0.193978,10389
1753,457.057,14.1455,0.218857,0.455898,10389
1671,416.17,24.6804,2.26187,2.86453,10389
1752,408.96,20.2818,0.688885,0.580352,10389
1672,450.803,8.00456,0.33439,1.16305,10389
1751,448.12,18.4493,0.439224,0.523366,10389
1673,517.747,5.21468,0.0952423,0.11132,10389
1750,2288,0,0,0,10389
1674,528.156,7.83353,0.1372,0.172356,10389
1749,703.958,14.6652,0.186761,0.413471,10389
1666,570.402,11.7182,0.184336,0.358364,10389
1950,628.036,12.8885,0.147653,0.200738,10389
1951,461.649,16.0539,0.177484,0.224262,10389
1952,467.81,10.7819,0.139066,0.145754,10389
1953,432.575,17.1655,0.168783,0.210816,10389
1954,342.518,14.0717,0.194528,0.165689,10389
1955,2087.6,3.44423,0.0904371,0.0340286,10389
1956,317.949,16.3146,0.185075,0.190579,10389
1957,409.052,15.1776,0.186988,0.179465,10389
1958,257.08,15.618,0.169515,0.19478,10389
