channel, mean, rms, meanerr, rmserr, tv
    0, 750.00, 5.00, 0., 0., 1
    1, 750.00, 5.00, 0., 0., 1
    2, 750.00, 5.00, 0., 0., 1
    3, 750.00, 5.00, 0., 0., 1
    4, 750.00, 5.00, 0., 0., 1
    5, 750.00, 5.00, 0., 0., 1
    6, 750.00, 5.00, 0., 0., 1
    7, 750.00, 5.00, 0., 0., 1
    8, 750.00, 5.00, 0., 0., 1
    9, 750.00, 5.00, 0., 0., 1
   10, 750.00, 5.00, 0., 0., 1
   11, 750.00, 5.00, 0., 0., 1
   12, 750.00, 5.00, 0., 0., 1
   13, 750.00, 5.00, 0., 0., 1
   14, 750.00, 5.00, 0., 0., 1
   15, 750.00, 5.00, 0., 0., 1
   16, 750.00, 5.00, 0., 0., 1
   17, 750.00, 5.00, 0., 0., 1
   18, 750.00, 5.00, 0., 0., 1
   19, 750.00, 5.00, 0., 0., 1
   20, 750.00, 5.00, 0., 0., 1
   21, 750.00, 5.00, 0., 0., 1
   22, 750.00, 5.00, 0., 0., 1
   23, 750.00, 5.00, 0., 0., 1
   24, 750.00, 5.00, 0., 0., 1
   25, 750.00, 5.00, 0., 0., 1
   26, 750.00, 5.00, 0., 0., 1
   27, 750.00, 5.00, 0., 0., 1
   28, 750.00, 5.00, 0., 0., 1
   29, 750.00, 5.00, 0., 0., 1
   30, 750.00, 5.00, 0., 0., 1
   31, 750.00, 5.00, 0., 0., 1
   32, 750.00, 5.00, 0., 0., 1
   33, 750.00, 5.00, 0., 0., 1
   34, 750.00, 5.00, 0., 0., 1
   35, 750.00, 5.00, 0., 0., 1
   36, 750.00, 5.00, 0., 0., 1
   37, 750.00, 5.00, 0., 0., 1
   38, 750.00, 5.00, 0., 0., 1
   39, 750.00, 5.00, 0., 0., 1
   40, 750.00, 5.00, 0., 0., 1
   41, 750.00, 5.00, 0., 0., 1
   42, 750.00, 5.00, 0., 0., 1
   43, 750.00, 5.00, 0., 0., 1
   44, 750.00, 5.00, 0., 0., 1
   45, 750.00, 5.00, 0., 0., 1
   46, 750.00, 5.00, 0., 0., 1
   47, 750.00, 5.00, 0., 0., 1
   48, 750.00, 5.00, 0., 0., 1
   49, 750.00, 5.00, 0., 0., 1
   50, 750.00, 5.00, 0., 0., 1
   51, 750.00, 5.00, 0., 0., 1
   52, 750.00, 5.00, 0., 0., 1
   53, 750.00, 5.00, 0., 0., 1
   54, 750.00, 5.00, 0., 0., 1
   55, 750.00, 5.00, 0., 0., 1
   56, 750.00, 5.00, 0., 0., 1
   57, 750.00, 5.00, 0., 0., 1
   58, 750.00, 5.00, 0., 0., 1
   59, 750.00, 5.00, 0., 0., 1
   60, 750.00, 5.00, 0., 0., 1
   61, 750.00, 5.00, 0., 0., 1
   62, 750.00, 5.00, 0., 0., 1
   63, 750.00, 5.00, 0., 0., 1
   64, 750.00, 5.00, 0., 0., 1
   65, 750.00, 5.00, 0., 0., 1
   66, 750.00, 5.00, 0., 0., 1
   67, 750.00, 5.00, 0., 0., 1
   68, 750.00, 5.00, 0., 0., 1
   69, 750.00, 5.00, 0., 0., 1
   70, 750.00, 5.00, 0., 0., 1
   71, 750.00, 5.00, 0., 0., 1
   72, 750.00, 5.00, 0., 0., 1
   73, 750.00, 5.00, 0., 0., 1
   74, 750.00, 5.00, 0., 0., 1
   75, 750.00, 5.00, 0., 0., 1
   76, 750.00, 5.00, 0., 0., 1
   77, 750.00, 5.00, 0., 0., 1
   78, 750.00, 5.00, 0., 0., 1
   79, 750.00, 5.00, 0., 0., 1
   80, 750.00, 5.00, 0., 0., 1
   81, 750.00, 5.00, 0., 0., 1
   82, 750.00, 5.00, 0., 0., 1
   83, 750.00, 5.00, 0., 0., 1
   84, 750.00, 5.00, 0., 0., 1
   85, 750.00, 5.00, 0., 0., 1
   86, 750.00, 5.00, 0., 0., 1
   87, 750.00, 5.00, 0., 0., 1
   88, 750.00, 5.00, 0., 0., 1
   89, 750.00, 5.00, 0., 0., 1
   90, 750.00, 5.00, 0., 0., 1
   91, 750.00, 5.00, 0., 0., 1
   92, 750.00, 5.00, 0., 0., 1
   93, 750.00, 5.00, 0., 0., 1
   94, 750.00, 5.00, 0., 0., 1
   95, 750.00, 5.00, 0., 0., 1
   96, 750.00, 5.00, 0., 0., 1
   97, 750.00, 5.00, 0., 0., 1
   98, 750.00, 5.00, 0., 0., 1
   99, 750.00, 5.00, 0., 0., 1
  100, 750.00, 5.00, 0., 0., 1
  101, 750.00, 5.00, 0., 0., 1
  102, 750.00, 5.00, 0., 0., 1
  103, 750.00, 5.00, 0., 0., 1
  104, 750.00, 5.00, 0., 0., 1
  105, 750.00, 5.00, 0., 0., 1
  106, 750.00, 5.00, 0., 0., 1
  107, 750.00, 5.00, 0., 0., 1
  108, 750.00, 5.00, 0., 0., 1
  109, 750.00, 5.00, 0., 0., 1
  110, 750.00, 5.00, 0., 0., 1
  111, 750.00, 5.00, 0., 0., 1
  112, 750.00, 5.00, 0., 0., 1
  113, 750.00, 5.00, 0., 0., 1
