channel,tv,chan_name
1000,0,35T.Temperature
1001,0,35T.RelHum
1002,0,35T.BaroPress
2000,0,35T.HV_SET_KVOLTS
2001,0,35T.I_LIMIT_SET_UAMPS
2002,0,35T.HV_READ_KVOLTS
2003,0,35T.I_READ_UAMPS
3000,0,35T.APA1_COLL_SET_V
3001,0,35T.APA2_COLL_SET_V
3002,0,35T.APA3_COLL_SET_V
3003,0,35T.APA4_COLL_SET_V
3004,0,35T.APA1_U_SET_V
3005,0,35T.APA2_U_SET_V
3006,0,35T.APA3_U_SET_V
3007,0,35T.APA4_U_SET_V
3008,0,35T.APA1_GRID_SET_V
3009,0,35T.APA2_GRID_SET_V
3010,0,35T.APA3_GRID_SET_V
3011,0,35T.APA4_GRID_SET_V
3012,0,35T.DIVERTER1_SET_V
3013,0,35T.FIELDCAGE_SET_V
3014,0,35T.DIVERTER2_SET_V
3015,0,35T.CATHODE_SET_V
3016,0,35T.OPTCONVBD_SET_V
3017,0,35T.APA1_COLL_RB_V
3018,0,35T.APA2_COLL_RB_V
3019,0,35T.APA3_COLL_RB_V
3020,0,35T.APA4_COLL_RB_V
3021,0,35T.APA1_U_RB_V
3022,0,35T.APA2_U_RB_V
3023,0,35T.APA3_U_RB_V
3024,0,35T.APA4_U_RB_V
3025,0,35T.APA1_GRID_RB_V
3026,0,35T.APA2_GRID_RB_V
3027,0,35T.APA3_GRID_RB_V
3028,0,35T.APA4_GRID_RB_V
3029,0,35T.DIVERTER1_RB_V
3030,0,35T.FIELDCAGE_RB_V
3031,0,35T.DIVERTER2_RB_V
3032,0,35T.CATHODE_RB_V
3033,0,35T.OPTCONVBD_RB_V
3034,0,35T.APA1_COLL_RB_I
3035,0,35T.APA2_COLL_RB_I
3036,0,35T.APA3_COLL_RB_I
3037,0,35T.APA4_COLL_RB_I
3038,0,35T.APA1_U_RB_I
3039,0,35T.APA2_U_RB_I
3040,0,35T.APA3_U_RB_I
3041,0,35T.APA4_U_RB_I
3042,0,35T.APA1_GRID_RB_I
3043,0,35T.APA2_GRID_RB_I
3044,0,35T.APA3_GRID_RB_I
3045,0,35T.APA4_GRID_RB_I
3046,0,35T.DIVERTER1_RB_I
3047,0,35T.FIELDCAGE_RB_I
3048,0,35T.DIVERTER2_RB_I
3049,0,35T.CATHODE_RB_I
3050,0,35T.OPTCONVBD_RB_I
3051,0,35T.Bias_P
4000,0,35T.RCE00A_SET_V
4001,0,35T.RCE00B_SET_V
4002,0,35T.RCE00C_SET_V
4003,0,35T.RCE00D_SET_V
4004,0,35T.RCE00E_SET_V
4005,0,35T.RCE00A_RB_V
4006,0,35T.RCE00B_RB_V
4007,0,35T.RCE00C_RB_V
4008,0,35T.RCE00D_RB_V
4009,0,35T.RCE00E_RB_V
4010,0,35T.RCE00A_RB_I
4011,0,35T.RCE00B_RB_I
4012,0,35T.RCE00C_RB_I
4013,0,35T.RCE00D_RB_I
4014,0,35T.RCE00E_RB_I
4100,0,35T.RCE01A_SET_V
4101,0,35T.RCE01B_SET_V
